# language = de
# newspaper = NZZ
# date = 1848-04-08
# document_id = NZZ-1848-04-08-a-p0001
# segment_iiif_link = _
chweiz	B-loc	O	B-loc.adm.nat	O	O	O	Q39	_	NoSpaceAfter
Gratiszentralisation	O	O	O	O	O	O	_	_	_
ernstlich	O	O	O	O	O	O	_	_	_
verbaten	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	_|EOS

—	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
Also	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
Geldmarkt	O	O	O	O	O	O	_	_	NoSpaceAfter
;	O	O	O	O	O	O	_	_	_|EOS

daher	O	O	O	O	O	O	_	_	_
ehrlich	O	O	O	O	O	O	_	_	_
weg	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
Vorschützen	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
nationaler	O	O	O	O	O	O	_	_	_
Tendenzen	O	O	O	O	O	O	_	_	NoSpaceAfter
!	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter|EOS

# segment_iiif_link = _
Der	O	O	O	O	O	O	_	_	_
Entwurf	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Revision	O	O	O	O	O	O	_	_	_
enthält	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Grundsatz	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
Bund	O	O	O	O	O	O	_	_	_
dahin	O	O	O	O	O	O	_	_	_
wirken	O	O	O	O	O	O	_	_	_
werde	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
auf	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
Wege	O	O	O	O	O	O	_	_	_
eines	O	O	O	O	O	O	_	_	_
eidg	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	_|EOS

Konkordats	O	O	O	O	O	O	_	_	NoSpaceAfter|Normalized-4
#¬	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter|Commented
# segment_iiif_link = _|Commented
#dats	O	O	O	O	O	O	_	_	_|Commented
eine	O	O	O	O	O	O	_	_	_
schweizerische	O	O	O	O	O	O	_	_	_
Hochschule	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
errichten	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
er	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
Gründung	O	O	O	O	O	O	_	_	_
einer	O	O	O	O	O	O	_	_	_
solchen	O	O	O	O	O	O	_	_	_
durch	O	O	O	O	O	O	_	_	_
Geldbeiträge	O	O	O	O	O	O	_	_	_
erleichtern	O	O	O	O	O	O	_	_	_
werde	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter|EOS

# segment_iiif_link = _
Hiemit	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
man	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
zufrieden	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
sondern	O	O	O	O	O	O	_	_	_
verlangt	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
Bundesverfassung	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Gründung	O	O	O	O	O	O	_	_	_
einer	O	O	O	O	O	O	_	_	_
Hochschule	O	O	O	O	O	O	_	_	_
kategorisch	O	O	O	O	O	O	_	_	_
vorschreibe	O	O	O	O	O	O	_	_	NoSpaceAfter|Normalized-8
#¬	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter|Commented
# segment_iiif_link = _|Commented
#schreibe	O	O	O	O	O	O	_	_	NoSpaceAfter|Commented
.	O	O	O	O	O	O	_	_	_|EOS

Wir	O	O	O	O	O	O	_	_	_
wollen	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
glauben	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Absicht	O	O	O	O	O	O	_	_	_
dahinterstecke	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
etwa	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
lästige	O	O	O	O	O	O	_	_	_
Hochschule	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
dort	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
verhaßte	O	O	O	O	O	O	_	_	_
Akademie	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
beseitigen	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
um	O	O	O	O	O	O	_	_	_
auf	O	O	O	O	O	O	_	_	_
Kosten	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Eidgenossenschaft	O	O	O	O	O	O	_	_	_
neue	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
errichten	O	O	O	O	O	O	_	_	NoSpaceAfter
;	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter|EOS

# segment_iiif_link = _
nein	O	O	O	O	O	O	_	_	_
—	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
wollen	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
beste	O	O	O	O	O	O	_	_	_
Absicht	O	O	O	O	O	O	_	_	_
voraussetzen	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Pflege	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
der	O	O	O	O	O	O	_	_	_
höhern	O	O	O	O	O	O	_	_	_
Wissenschaft	O	O	O	O	O	O	_	_	_
im	O	O	O	O	O	O	_	_	_
Vaterlande	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
ihre	O	O	O	O	O	O	_	_	_
nationale	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
Richtung	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
sorgen	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	_|EOS

Wir	O	O	O	O	O	O	_	_	_
ehren	O	O	O	O	O	O	_	_	_
im	O	O	O	O	O	O	_	_	_
höchsten	O	O	O	O	O	O	_	_	_
Grad	O	O	O	O	O	O	_	_	_
solche	O	O	O	O	O	O	_	_	_
Bestrebungen	O	O	O	O	O	O	_	_	NoSpaceAfter|Normalized-10
#¬	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter|Commented
# segment_iiif_link = _|Commented
#strebungen	O	O	O	O	O	O	_	_	NoSpaceAfter|Commented
,	O	O	O	O	O	O	_	_	_
halten	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
Pflicht	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
Behörden	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
nur	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
schönen	O	O	O	O	O	O	_	_	_
Phantasien	O	O	O	O	O	O	_	_	_
nachhängen	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
sondern	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Ausführbarkeit	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
und	O	O	O	O	O	O	_	_	_
alle	O	O	O	O	O	O	_	_	_
Konsequenzen	O	O	O	O	O	O	_	_	_
reiflich	O	O	O	O	O	O	_	_	_
überlegen	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	_|EOS

Man	O	O	O	O	O	O	_	_	_
pflegt	O	O	O	O	O	O	_	_	_
schnell	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
sagen	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
Volk	O	O	O	O	O	O	_	_	_
verlangt	O	O	O	O	O	O	_	_	_
nun	O	O	O	O	O	O	_	_	_
solche	O	O	O	O	O	O	_	_	_
Institutionen	O	O	O	O	O	O	_	_	NoSpaceAfter
;	O	O	O	O	O	O	_	_	_|EOS

wir	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	NoSpaceAfter|Normalized-3
#¬	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter|Commented
# segment_iiif_link = _|Commented
#ben	O	O	O	O	O	O	_	_	_|Commented
die	O	O	O	O	O	O	_	_	_
bestimmte	O	O	O	O	O	O	_	_	_
Erfahrung	O	O	O	O	O	O	_	_	_
gemacht	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
Hochschule	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
letzte	O	O	O	O	O	O	_	_	_
Gegenstand	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
Volk	O	O	O	O	O	O	_	_	_
verlangt	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
weil	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Einfluß	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
der	O	O	O	O	O	O	_	_	_
höhern	O	O	O	O	O	O	_	_	_
Wissenschaft	O	O	O	O	O	O	_	_	_
auf	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
Wohl	O	O	O	O	O	O	_	_	_
des	O	O	O	O	O	O	_	_	_
Landes	O	O	O	O	O	O	_	_	_
weniger	O	O	O	O	O	O	_	_	_
begreift	O	O	O	O	O	O	_	_	NoSpaceAfter|Normalized-6
#¬	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter|Commented
# segment_iiif_link = _|Commented
#greift	O	O	O	O	O	O	_	_	_|Commented
und	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Ansicht	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
man	O	O	O	O	O	O	_	_	_
genug	O	O	O	O	O	O	_	_	_
Anstalten	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Nähe	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
und	O	O	O	O	O	O	_	_	_
Ferne	O	O	O	O	O	O	_	_	_
finde	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
um	O	O	O	O	O	O	_	_	_
seine	O	O	O	O	O	O	_	_	_
Geistlichen	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
Aerzte	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Juristen	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
bilden	O	O	O	O	O	O	_	_	NoSpaceAfter
;	O	O	O	O	O	O	_	_	_|EOS

wir	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Erfahrung	O	O	O	O	O	O	_	_	_
gemacht	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
Volk	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
jährlichen	O	O	O	O	O	O	_	_	_
Büdgets	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
großen	O	O	O	O	O	O	_	_	_
Kosten	O	O	O	O	O	O	_	_	_
einer	O	O	O	O	O	O	_	_	_
Hochschule	O	O	O	O	O	O	_	_	_
gar	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
mit	O	O	O	O	O	O	_	_	_
Vorliebe	O	O	O	O	O	O	_	_	_
liest	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	_|EOS

Es	O	O	O	O	O	O	_	_	_
lohnt	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
daher	O	O	O	O	O	O	_	_	_
wohl	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Mühe	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
fragen	O	O	O	O	O	O	_	_	NoSpaceAfter|Normalized-3
#¬	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter|Commented
# segment_iiif_link = _|Commented
#gen	O	O	O	O	O	O	_	_	NoSpaceAfter|Commented
,	O	O	O	O	O	O	_	_	_
welche	O	O	O	O	O	O	_	_	_
ökonomischen	O	O	O	O	O	O	_	_	_
Opfer	O	O	O	O	O	O	_	_	_
werden	O	O	O	O	O	O	_	_	_
erfordert	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
stehen	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
im	O	O	O	O	O	O	_	_	_
Verhältniß	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
Vortheil	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
welcher	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
erwarten	O	O	O	O	O	O	_	_	_
läßt	O	O	O	O	O	O	_	_	NoSpaceAfter
?	O	O	O	O	O	O	_	_	_|EOS

—	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
Man	O	O	O	O	O	O	_	_	_
will	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
höhere	O	O	O	O	O	O	_	_	_
wissenschaftliche	O	O	O	O	O	O	_	_	_
Anstalt	O	O	O	O	O	O	_	_	_
im	O	O	O	O	O	O	_	_	_
größten	O	O	O	O	O	O	_	_	_
Umfang	O	O	O	O	O	O	_	_	NoSpaceAfter|Normalized-4
#¬	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter|Commented
# segment_iiif_link = _|Commented
#fang	O	O	O	O	O	O	_	_	NoSpaceAfter|Commented
,	O	O	O	O	O	O	_	_	_
welche	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
nur	O	O	O	O	O	O	_	_	_
alle	O	O	O	O	O	O	_	_	_
Fakultäten	O	O	O	O	O	O	_	_	_
gut	O	O	O	O	O	O	_	_	_
besetzt	O	O	O	O	O	O	_	_	_
hält	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
sondern	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
auch	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
wie	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
allerdings	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Bedürfnisse	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Schweiz	B-loc	O	B-loc.adm.nat	O	O	B-org.adm	Q39	_	_
erfordern	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
Lehrstühle	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
katholische	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
protestantische	O	O	O	O	O	O	_	_	_
Theologie	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
und	O	O	O	O	O	O	_	_	_
überdieß	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
alle	O	O	O	O	O	O	_	_	_
wesentlichen	O	O	O	O	O	O	_	_	_
Fächer	O	O	O	O	O	O	_	_	_
doppelte	O	O	O	O	O	O	_	_	_
Professuren	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
bestellt	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
deutsche	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
französische	O	O	O	O	O	O	_	_	_
Sprache	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
mit	O	O	O	O	O	O	_	_	_
einem	O	O	O	O	O	O	_	_	_
Wort	O	O	O	O	O	O	_	_	NoSpaceAfter
:	O	O	O	O	O	O	_	_	_|EOS

eine	O	O	O	O	O	O	_	_	_
Art	O	O	O	O	O	O	_	_	_
Doppel	O	O	O	O	O	O	_	_	NoSpaceAfter
-	O	O	O	O	O	O	_	_	NoSpaceAfter
Universität	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	_|EOS

Aber	O	O	O	O	O	O	_	_	_
dieß	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
genug	O	O	O	O	O	O	_	_	NoSpaceAfter
;	O	O	O	O	O	O	_	_	_|EOS

mit	O	O	O	O	O	O	_	_	_
dieser	O	O	O	O	O	O	_	_	_
Anstalt	O	O	O	O	O	O	_	_	_
soll	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
polytechnische	O	O	O	O	O	O	_	_	_
Schule	O	O	O	O	O	O	_	_	_
verbunden	O	O	O	O	O	O	_	_	NoSpaceAfter|Normalized-6
#¬	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter|Commented
# segment_iiif_link = _|Commented
#bunden	O	O	O	O	O	O	_	_	_|Commented
werden	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	_|EOS

Und	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
That	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Gerechtigkeit	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Konsequenz	O	O	O	O	O	O	_	_	NoSpaceAfter|Normalized-5
#¬	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter|Commented
# segment_iiif_link = _|Commented
#quenz	O	O	O	O	O	O	_	_	_|Commented
verlangt	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
große	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
industrielle	O	O	O	O	O	O	_	_	_
Bedeutung	O	O	O	O	O	O	_	_	_
des	O	O	O	O	O	O	_	_	_
Landes	O	O	O	O	O	O	_	_	NoSpaceAfter|Normalized-3
#¬	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter|Commented
# segment_iiif_link = _|Commented
#des	O	O	O	O	O	O	_	_	_|Commented
bei	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
allgemeinen	O	O	O	O	O	O	_	_	_
Bildungsanstalten	O	O	O	O	O	O	_	_	_
dieselbe	O	O	O	O	O	O	_	_	_
Berücksichtigung	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
finde	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
wie	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
sogenannten	O	O	O	O	O	O	_	_	_
gelehrten	O	O	O	O	O	O	_	_	_
Fächer	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	_|EOS

—	O	O	O	O	O	O	_	_	_
Nun	O	O	O	O	O	O	_	_	_
ersuchen	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
wir	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
sachkundige	O	O	O	O	O	O	_	_	_
Feder	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
uns	O	O	O	O	O	O	_	_	_
einen	O	O	O	O	O	O	_	_	_
ungefähren	O	O	O	O	O	O	_	_	_
Voranschlag	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
der	O	O	O	O	O	O	_	_	_
Kosten	O	O	O	O	O	O	_	_	_
dieser	O	O	O	O	O	O	_	_	_
zwei	O	O	O	O	O	O	_	_	_
Anstalten	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
entwerfen	O	O	O	O	O	O	_	_	NoSpaceAfter
;	O	O	O	O	O	O	_	_	_|EOS

vorläufig	O	O	O	O	O	O	_	_	_
wollen	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
wir	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
jährliche	O	O	O	O	O	O	_	_	_
Ausgabe	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
150,000	O	O	O	O	O	O	_	_	_
Franken	O	O	O	O	O	O	_	_	_
annehmen	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
schwerlich	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
hoch	O	O	O	O	O	O	_	_	_
angesetzt	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	_|EOS

Mit	O	O	O	O	O	O	_	_	_
allem	O	O	O	O	O	O	_	_	_
diesem	O	O	O	O	O	O	_	_	_
wäre	O	O	O	O	O	O	_	_	_
man	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
aber	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
zufrieden	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
sondern	O	O	O	O	O	O	_	_	_
man	O	O	O	O	O	O	_	_	_
verlangt	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
Lehrerseminarien	O	O	O	O	O	O	_	_	NoSpaceAfter|Normalized-6
#¬	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter|Commented
# segment_iiif_link = _|Commented
#narien	O	O	O	O	O	O	_	_	NoSpaceAfter|Commented
.	O	O	O	O	O	O	_	_	_|EOS

Es	O	O	O	O	O	O	_	_	_
st	O	O	O	O	O	O	_	_	_
einleuchtend	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
Ein	O	O	O	O	O	O	_	_	_
solches	O	O	O	O	O	O	_	_	_
oter	O	O	O	O	O	O	_	_	_
einige	O	O	O	O	O	O	_	_	_
nichte	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter


